xmin,ymin,xmax,ymax,text
163,204,340,238,ACCELIO
161,336,297,370,Sample
311,336,395,363,Files
161,396,216,417,This
227,396,323,423,sample
336,396,447,423,package
459,396,576,417,contains:
627,483,790,511,Description
177,484,305,505,Filename
625,549,676,570,The
687,548,801,577,template
813,545,897,581,design
176,549,415,572,ap_bookmark.IFD
176,613,419,637,ap_bookmark.mdf
625,613,676,634,The
686,613,801,640,template
812,613,921,641,targeted
932,613,967,634,for
979,613,1035,634,PDF
1047,614,1136,640,output.
625,676,644,697,A
655,677,750,702,sample
762,676,818,698,data
829,676,866,698,file
878,676,897,698,in
911,675,968,697,DAT
971,672,1061,701,format
176,676,409,699,ap_bookmark.dat
625,740,644,761,A
655,741,750,767,sample
763,740,893,762,bookmark
895,735,937,767,file
176,740,425,763,ap_bookmark.bmk
626,804,726,831,Sample
739,804,796,825,PDF
806,800,887,835,output
176,804,411,831,ap_bookmark.pdf
625,868,644,889,A
655,868,787,891,document
798,867,933,895,describing
945,868,984,889,the
996,867,1099,896,sample.
176,868,477,895,ap_bookmark_doc.pdf
163,967,344,1002,Deploying
359,967,414,994,the
430,967,564,1002,Sample
161,1027,194,1048,To
205,1027,293,1054,deploy
303,1027,348,1048,this
360,1027,455,1054,sample
468,1027,487,1048,in
499,1033,556,1054,your
567,1027,739,1048,environment:
163,1084,182,1105,1.
211,1084,282,1111,Open
294,1084,334,1105,the
345,1084,460,1111,template
472,1084,557,1112,design
570,1084,823,1111,ap_bookmark.lFD
835,1084,854,1105,in
867,1084,956,1111,Output
969,1084,1088,1112,Designer
1098,1084,1145,1105,and
1158,1084,1286,1111,recompile
1298,1084,1338,1105,the
211,1119,326,1146,template
336,1119,371,1140,for
381,1119,421,1140,the
432,1119,583,1146,appropriate
596,1120,762,1146,presentment
773,1120,855,1146,target.
161,1176,182,1197,2.
212,1176,299,1204,Modify
309,1176,349,1197,the
361,1182,384,1197,-z
395,1176,474,1203,option
487,1176,506,1197,in
518,1176,558,1197,the
571,1176,630,1204,Ajob
642,1176,772,1197,command
785,1176,804,1197,in
816,1176,856,1197,the
868,1176,924,1197,data
935,1176,972,1197,file
984,1176,1234,1203,ap_bookmark.dat
1244,1177,1274,1197,to:
263,1236,357,1264,Identify
368,1236,408,1257,the
418,1237,495,1264,target
506,1237,588,1264,output
597,1232,682,1264,device
263,1295,357,1322,Identify
368,1295,408,1316,the
420,1295,551,1316,bookmark
561,1295,598,1316,file
610,1295,678,1323,using
690,1295,731,1316,the
743,1295,830,1316,-abmk
840,1295,978,1316,command.
263,1355,357,1383,Identify
368,1355,408,1376,the
419,1355,512,1376,section
523,1355,558,1376,for
568,1355,643,1376,which
655,1356,678,1376,to
689,1356,807,1383,generate
819,1355,972,1380,bookmarks,
986,1355,999,1376,if
1008,1355,1113,1380,desired,
1127,1355,1195,1383,using
1206,1355,1247,1376,the
1259,1355,1345,1376,-abms
261,1388,389,1416,command
213,1441,254,1464,For
266,1440,384,1470,example,
615,1530,667,1551,Use
678,1530,722,1552,the
734,1528,874,1552,command
887,1530,936,1551,line
948,1529,1093,1558,parameter
1105,1548,1129,1551,...
227,1530,261,1551,To
274,1528,417,1553,bookmark
428,1530,461,1557,by
473,1548,497,1551,...
229,1593,336,1614,Invoices
614,1593,944,1612,-abmkap_bookmark.bmk
964,1592,1176,1611,-abmsinvoices
227,1656,292,1684,Туре
614,1656,944,1677,-abmkap_bookmark.bmk
964,1656,1110,1677,-abmstype
614,1719,944,1740,-abmkap_bookmark.bmk
964,1719,1143,1736,-abmsamount
226,1720,330,1741,Amount
162,2046,208,2064,PDF
219,2046,328,2065,Bookmark
338,2046,420,2070,Sample
1323,2047,1379,2069,Page
1388,2047,1400,2065,3
1408,2047,1429,2063,of
1436,2047,1448,2064,4
